Issue Key,Issue Type,Summary,Description,Epic Link,Story Points,Priority,Labels,Components,Sprint,Acceptance Criteria
LEX-312,Story,Client management UI,/clients list and detail.,Case Management Module,3,Medium,sprint-3|frontend,frontend,Sprint 3,- Link to cases
LEX-313,Story,Case management E2E tests,Playwright critical journeys.,Case Management Module,3,High,sprint-3|matter-wall|qa,qa,Sprint 3,- 404 matter wall test
LEX-314,Story,Case domain event handlers,Idempotent handlers for timeline.,Case Management Module,3,High,sprint-3|backend,backend,Sprint 3,- CaseCreated handler
LEX-401,Story,Documents schema & S3 integration,"documents, versions, S3 adapter.",AI Services & Workflow Orchestration,5,Highest,sprint-4|database,backend,Sprint 4,- Presigned URL support
LEX-402,Story,Document upload API,3-step upload flow.,AI Services & Workflow Orchestration,8,Highest,sprint-4|matter-wall,backend,Sprint 4,- DocumentUploaded event
LEX-403,Story,OCR processing pipeline,"Celery OCR task, DocumentProcessed.",AI Services & Workflow Orchestration,8,High,sprint-4|ai,backend,Sprint 4,- p95 < 10 min target
LEX-404,Story,AI schema & prompt registry v1,"ai_summaries, prompt_templates seed.",AI Services & Workflow Orchestration,5,High,sprint-4|ai|database,backend,Sprint 4,- document-summary-v1 template
LEX-405,Story,Async AI summary API,202 + job polling. ADR-004.,AI Services & Workflow Orchestration,8,Highest,sprint-4|ai,backend,Sprint 4,"- PII redaction
- prompt_history logged"
LEX-406,Story,AI summary approval API,Approve/reject by attorney.,AI Services & Workflow Orchestration,5,High,sprint-4|ai,backend,Sprint 4,- HITL enforced
LEX-407,Story,n8n private deployment,"ECS internal, no public DNS. ADR-002.",AI Services & Workflow Orchestration,5,Highest,sprint-4|n8n,infra,Sprint 4,- Network scan fails public
LEX-408,Story,Workflow execution schema & bridge,Executions + HMAC callbacks.,AI Services & Workflow Orchestration,5,High,sprint-4|n8n,backend,Sprint 4,- Trigger returns 202
LEX-409,Story,First n8n workflow document-upload-notify-v1,"JSON in repo, CI promotion.",AI Services & Workflow Orchestration,5,High,sprint-4|n8n,n8n,Sprint 4,- No business logic in n8n
LEX-410,Story,Document upload & list UI,"Drop zone, processing status.",AI Services & Workflow Orchestration,8,High,sprint-4|frontend,frontend,Sprint 4,- Matches document viewer spec
LEX-411,Story,AI summary & approval UI,"Draft label, approve/reject.",AI Services & Workflow Orchestration,8,Highest,sprint-4|ai|frontend,frontend,Sprint 4,- AI disclaimer visible
LEX-412,Story,Workflow status UI,Case workflows tab.,AI Services & Workflow Orchestration,5,Medium,sprint-4|n8n|frontend,frontend,Sprint 4,- Manual trigger works
LEX-413,Story,LLM usage metering stub,"Token counts, daily aggregation.",AI Services & Workflow Orchestration,2,Low,sprint-4|ai,backend,Sprint 4,- llm_usage table populated
LEX-414,Story,Sprint 4 integration & AI tests,Upload OCR summarize approve flow.,AI Services & Workflow Orchestration,3,High,sprint-4|matter-wall|qa,qa,Sprint 4,- Async 202 tested
LEX-501,Story,Structured logging & correlation IDs,"JSON logs, PII redaction, CloudWatch.",Production Readiness & AWS Deployment,5,High,sprint-5|observability,infra,Sprint 5,- correlationId end-to-end
LEX-502,Story,OpenTelemetry tracing,"OTel SDK, X-Ray export.",Production Readiness & AWS Deployment,5,High,sprint-5|observability,infra,Sprint 5,- Trace API to worker
LEX-503,Story,Metrics & alerting,CloudWatch alarms P1-P2.,Production Readiness & AWS Deployment,5,High,sprint-5|observability,infra,Sprint 5,- DLQ alarm configured
LEX-504,Story,AWS production infrastructure,"Terraform prod: RDS, ECS, MQ, S3, WAF.",Production Readiness & AWS Deployment,8,Highest,sprint-5|aws,infra,Sprint 5,- Multi-AZ RDS
LEX-505,Story,CI/CD production promotion gate,"Manual approval, smoke tests, rollback.",Production Readiness & AWS Deployment,5,Highest,sprint-5|ci,infra,Sprint 5,- Rollback tested in staging
LEX-506,Story,Security hardening,"WAF, rate limit, pen test, ZAP scan.",Production Readiness & AWS Deployment,8,Highest,sprint-5|security,backend,Sprint 5,- Zero cross-matter access
LEX-507,Story,Load test baseline,"k6 100 VU, upload burst.",Production Readiness & AWS Deployment,5,High,sprint-5|qa,qa,Sprint 5,- p95 < 500ms
LEX-508,Story,E2E test suite MVP,Playwright nightly staging.,Production Readiness & AWS Deployment,5,High,sprint-5|qa,qa,Sprint 5,- Full journey < 15 min
LEX-509,Story,Command palette & global search,Cmd+K Linear-style.,Production Readiness & AWS Deployment,5,Medium,sprint-5|frontend,frontend,Sprint 5,- Case search works
LEX-510,Story,Notifications in-app + email,"Bell SSE, SES stub.",Production Readiness & AWS Deployment,5,High,sprint-5|backend,backend,Sprint 5,- Task assigned email
LEX-511,Story,Audit log viewer UI,/audit Compliance Officer view.,Production Readiness & AWS Deployment,3,Medium,sprint-5|frontend,frontend,Sprint 5,- Cursor pagination
LEX-512,Story,Backup & DR verification,"PITR test, S3 versioning.",Production Readiness & AWS Deployment,3,High,sprint-5|aws,infra,Sprint 5,- Restore to staging clone
LEX-513,Story,Production go-live & hypercare plan,"50 pilot users, Phase 1 exit.",Production Readiness & AWS Deployment,3,Highest,sprint-5|planning,docs,Sprint 5,- Exit criteria checklist signed
